,none,group_1,group_2,group_3,group_4,group_5
1,2.0163932004180287,-0.45005201878772194,1.0105617630652448,0.09537806154978301,-0.11743221834773909,0.4451509039974579
2,2.016393275299713,-0.0966323571336937,-0.3987306216773107,-0.3593373747510827,-0.12912445213887583,-0.03256863908614391
3,2.0163934084876876,-0.3158470192580381,-0.6902510231231257,-0.31769086754780634,-0.34166642610193226,-0.35093796060391536
4,2.016393121887406,0.33828529523746226,0.002987143019929417,0.7889011101719974,-0.05701065682956874,-0.0895562699346042
5,2.016393220589538,0.021480256787578422,-0.3874107912316123,-0.3871313636889902,-0.017626281859270343,-0.2457052737417047
6,2.016393164541426,-0.28062378354415923,-0.12664758421047695,-0.55002282560313,0.19621721342099005,0.7446835480738203
7,2.016393217064348,-0.11345146214495719,-0.3840210988132117,-0.3627421028206154,-0.09810459742114677,-0.05807415165010871
8,2.0163930889516304,0.7312731227366018,-0.2812325792156696,0.8505811074559911,-0.14424745804038464,-0.17276759683447507
9,2.016393378307987,-0.5566204951766089,0.26974982677366305,-0.4436710567102818,-0.14022804885008014,-0.14562359178157602
10,2.0163933444175783,-0.03598012293199612,-0.1968895736904901,-0.5859859338884197,-0.12150303977657675,-0.07603469413690656
11,2.016393439835898,-0.118641840551574,-0.24290412714435355,-1.2238974682527406,-0.24330549251983652,-0.18764441704301982
12,2.0163930420520213,0.15235709883461412,-0.08615728498392328,-0.17662045065487864,0.08216079048065317,1.011866403355752
13,2.0163931207910073,0.13894420252097778,0.7967563039787656,0.11866240851798604,-0.19614456112260314,0.12538823436755503
14,2.0163931245955795,-0.1943128131826658,0.62566743816165,0.5009051966104827,-0.2377936520689271,0.28914033022908175
15,2.016393083628219,-0.19562403452997068,0.07496412095794613,0.29170606272901833,-0.05121743021348235,0.863777756655511
16,2.0163928943584657,0.47209283985447387,-0.09208684713337123,0.4041188031428392,-0.11141474590390976,0.3108963653251035
17,2.016393366354054,-0.1697545310102687,0.07231864350308997,-0.6402005785809348,-0.24899122373512808,-0.029765732862492372
18,2.0163933743435125,-0.1305049019559871,0.030451121951526716,-0.7596014019457265,-0.2031813008142153,0.04644307245521537
19,2.0163934910862946,-0.2713253786029936,-0.08512903218542053,-0.8778874504773237,0.025433689943487853,-0.807485079640941
20,2.016393161915774,-0.2205524324300696,0.7210815307160987,0.3942225569896794,-0.1897070625337094,0.2785619317470377
